no,dokumen,pertanyaan,ground_truth_id,metadata_konteks
1,Laporan Pelaksanaan Evaluasi SPBE 2024,Domain SPBE apa yang rata-rata nilainya masih paling rendah dan harus menjadi fokus perbaikan?,"CHUNK 1, CHUNK 3","{""topik"": ""Kesimpulan Evaluasi""}"
2,Laporan Pelaksanaan Evaluasi SPBE 2024,Apa saja rekomendasi strategis untuk meningkatkan skor pada Domain Manajemen?,CHUNK 6,"{""topik"": ""Peningkatan Domain Manajemen SPBE""}"
3,Laporan Pelaksanaan Evaluasi SPBE 2024,Sebutkan instansi pusat/badan yang berhasil meraih skor Indeks SPBE di atas 4.00 (Sangat Baik)!,"CHUNK 13, CHUNK 17","{""bagian"": ""Data Capaian Instansi""}"
4,Laporan Pelaksanaan Evaluasi SPBE 2024,Tindakan apa yang direkomendasikan bagi instansi yang ingin mempertahankan inovasi Layanan SPBE?,CHUNK 8,"{""topik"": ""Penyempurnaan Layanan SPBE""}"
5,Laporan Pelaksanaan Evaluasi SPBE 2024,Apa saja tantangan utama penyebab kesenjangan/disparitas nilai SPBE antar daerah?,"CHUNK 3, CHUNK 9","{""topik"": ""Kesimpulan Evaluasi"", ""topik"": ""Penanganan Ketimpangan Antar Daerah""}"
6,Pedoman Menteri PANRB Nomor 3 Tahun 2024,Data dukung apa yang wajib disiapkan agar mencapai tingkat kematangan 5 pada indikator Kebijakan Arsitektur SPBE?,"CHUNK 37, CHUNK 76","{""indikator"": ""Kebijakan Internal Arsitektur SPBE""}"
7,Pedoman Menteri PANRB Nomor 3 Tahun 2024,Bagaimana kriteria penilaian dan data dukung untuk mencapai tingkat 4 pada Manajemen Risiko SPBE?,"CHUNK 57, CHUNK 58","{""bagian"": ""B. Tata Cara dan Kaidah Penilaian Mandiri Bagi Asesor Internal""}"
8,Pedoman Menteri PANRB Nomor 3 Tahun 2024,Dokumen seperti apa (notulensi/laporan) yang diakui sebagai bukti dukung reviu/evaluasi periodik secara sah?,"CHUNK 214, CHUNK 227","{""domain"": ""Manajemen SPBE""}"
9,Pedoman Menteri PANRB Nomor 3 Tahun 2024,Bagaimana cara membuktikan bahwa sistem penghubung layanan sudah terintegrasi untuk mencapai level maksimal?,"CHUNK 93, CHUNK 94","{""bagian"": ""B. Tata Cara dan Kaidah Penilaian Mandiri Bagi Asesor Internal""}"
10,Pedoman Menteri PANRB Nomor 3 Tahun 2024,"Jika layanan pengadaan barang/jasa hanya memberikan layanan informasi, di tingkat berapakah posisi kami?","CHUNK 64, CHUNK 65","{""bagian"": ""B. Tata Cara dan Kaidah Penilaian Mandiri Bagi Asesor Internal""}"
11,Permenpan RB Nomor 59 Tahun 2020,Apa perbedaan karakteristik dari kelima tingkat kematangan dalam penerapan SPBE?,"CHUNK 36, CHUNK 37, CHUNK 38, CHUNK 39","{""indikator"": ""Tingkat Kematangan Kebijakan Internal Arsitektur SPBE""}"
12,Permenpan RB Nomor 59 Tahun 2020,Apa saja tahapan pelaksanaan dan siapa yang mengkoordinasikan Penilaian Mandiri?,"CHUNK 20, CHUNK 21","{""pasal"": ""Pasal 4"", ""ayat"": ""Ayat (1)-(3)""}"
13,Permenpan RB Nomor 59 Tahun 2020,Siapa saja pihak yang dapat menjadi atau membentuk Tim Asesor Internal?,"CHUNK 9, CHUNK 10","{""pasal"": ""Pasal 1""}"
14,Permenpan RB Nomor 59 Tahun 2020,Apa fokus tujuan dilakukannya Penilaian Dokumen dan Penilaian Interviu?,"CHUNK 11, CHUNK 12","{""pasal"": ""Pasal 1""}"
15,Permenpan RB Nomor 59 Tahun 2020,Apa peran Asesor Eksternal dan siapa yang menetapkannya?,CHUNK 24,"{""pasal"": ""Pasal 6""}"
